time,airliner,flight,details,seats_fare,seats_seat_price,seats_total_seats_available,seats_total_seats_unavailable,seats_price_bag,seats_price_preferred_boarding,seats_seats_comfort_available,seats_seats_comfort_unavailable,seats_seats_emergency_available,seats_seats_emergency_unavailable,seats_seats_standard_available,seats_seats_standard_unavailable,seats_seats_business_available,seats_seats_business_unavailable
2024-08-26 03:12:46,TAP,1,"[{'Departure': {'date': '9 Sep', 'departure_time': '07:55', 'arrival_time': '10:15', 'price_economy': '498.10', 'price_business': '645.40'}}]",Economy,"[{'area': 'Comfort', 'price': '0.00'}, {'area': 'Exit row', 'price': '0.00'}, {'area': 'Standard', 'price': '0.00'}]",100,44,0,0,19,11,11,1,70,32,N/A,N/A
2024-08-26 03:13:55,TAP,1,"[{'Departure': {'date': '9 Sep', 'departure_time': '07:55', 'arrival_time': '10:15', 'price_economy': '498.10', 'price_business': '645.40'}}]",Business,"[{'area': 'Executive', 'price': '0.00'}]",12,18,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,18
2024-08-26 03:14:27,TAP,2,"[{'Departure': {'date': '9 Sep', 'departure_time': '10:20', 'arrival_time': '12:40', 'price_economy': '316.10', 'price_business': '645.40'}}]",Economy,"[{'area': 'Comfort', 'price': '0.00'}, {'area': 'Exit row', 'price': '0.00'}, {'area': 'Standard', 'price': '0.00'}]",104,46,0,0,25,11,8,4,71,31,N/A,N/A
2024-08-26 03:15:37,TAP,2,"[{'Departure': {'date': '9 Sep', 'departure_time': '10:20', 'arrival_time': '12:40', 'price_economy': '316.10', 'price_business': '645.40'}}]",Business,"[{'area': 'Executive', 'price': '0.00'}]",7,17,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,17
2024-08-26 03:16:09,TAP,3,"[{'Departure': {'date': '9 Sep', 'departure_time': '13:05', 'arrival_time': '15:20', 'price_economy': '445.10', 'price_business': '645.40'}}]",Economy,"[{'area': 'Comfort', 'price': '0.00'}, {'area': 'Exit row', 'price': '0.00'}, {'area': 'Standard', 'price': '0.00'}]",110,28,0,0,20,4,12,0,78,24,N/A,N/A
2024-08-26 03:17:18,TAP,3,"[{'Departure': {'date': '9 Sep', 'departure_time': '13:05', 'arrival_time': '15:20', 'price_economy': '445.10', 'price_business': '645.40'}}]",Business,"[{'area': 'Executive', 'price': '0.00'}]",12,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,24
2024-08-26 03:17:51,TAP,4,"[{'Departure': {'date': '9 Sep', 'departure_time': '14:45', 'arrival_time': '17:05', 'price_economy': '356.10', 'price_business': '645.40'}}]",Economy,"[{'area': 'Comfort', 'price': '0.00'}, {'area': 'Exit row', 'price': '0.00'}, {'area': 'Standard', 'price': '0.00'}]",82,38,0,0,27,3,5,1,50,34,N/A,N/A
2024-08-26 03:19:04,TAP,4,"[{'Departure': {'date': '9 Sep', 'departure_time': '14:45', 'arrival_time': '17:05', 'price_economy': '356.10', 'price_business': '645.40'}}]",Business,"[{'area': 'Executive', 'price': '0.00'}]",13,11,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,11
2024-08-26 03:19:35,TAP,5,"[{'Departure': {'date': '9 Sep', 'departure_time': '17:00', 'arrival_time': '19:20', 'price_economy': '316.10', 'price_business': '645.40'}}]",Economy,"[{'area': 'Comfort', 'price': '0.00'}, {'area': 'Exit row', 'price': '0.00'}, {'area': 'Standard', 'price': '0.00'}]",85,41,0,0,27,9,4,2,54,30,N/A,N/A
2024-08-26 03:20:44,TAP,5,"[{'Departure': {'date': '9 Sep', 'departure_time': '17:00', 'arrival_time': '19:20', 'price_economy': '316.10', 'price_business': '645.40'}}]",Business,"[{'area': 'Executive', 'price': '0.00'}]",8,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,10
2024-08-26 03:21:15,TAP,6,"[{'Departure': {'date': '9 Sep', 'departure_time': '19:05', 'arrival_time': '21:25', 'price_economy': '316.10', 'price_business': '497.40'}}]",Economy,"[{'area': 'Comfort', 'price': '0.00'}, {'area': 'Exit row', 'price': '0.00'}, {'area': 'Standard', 'price': '0.00'}]",65,31,0,0,23,13,4,0,38,18,N/A,N/A
2024-08-26 03:22:22,TAP,6,"[{'Departure': {'date': '9 Sep', 'departure_time': '19:05', 'arrival_time': '21:25', 'price_economy': '316.10', 'price_business': '497.40'}}]",Business,"[{'area': 'Executive', 'price': '0.00'}]",9,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,3
2024-08-26 03:22:54,TAP,7,"[{'Departure': {'date': '9 Sep', 'departure_time': '22:00', 'arrival_time': '00:20 +1', 'price_economy': '61.50', 'price_business': '418.40'}}]",Economy,"[{'area': 'Comfort', 'price': '0.00'}, {'area': 'Exit row', 'price': '0.00'}, {'area': 'Standard', 'price': '0.00'}]",142,14,0,0,42,0,12,0,88,14,N/A,N/A
2024-08-26 03:24:04,TAP,7,"[{'Departure': {'date': '9 Sep', 'departure_time': '22:00', 'arrival_time': '00:20 +1', 'price_economy': '61.50', 'price_business': '418.40'}}]",Business,"[{'area': 'Executive', 'price': '0.00'}]",12,6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,6
